Title,Image,Label,totalphotos,detail,Address,Address1,mn,headerdetail,headerdetail2,headerdetail3,Price,View
"Oficina / consultorio en Costa Azul en Acapulco 63 m2 planta baja 2 cubiculos 1.5 baños aire acondicionado a 1 cuadra de Costera Incluye agua y mantenimiento Oficina con derecho a uso de la alberca del condominio. 10,000 mensual. ID: EB-IR2335",,5 meses en Propiedades.com,1/10,"
Alaminos	",,,"
Actualizada el 17/03/2022	","

","

1	","

63	","
$ 10 mil MN	","
Ver propiedad
"
Oficina / consultorio en Costa Azul en Acapulco 63 m2 planta baja 2 cubiculos 1.5 baños aire acondicionado a 1 cuadra de Costera,,27 días en Propiedades.com,1/5,"
piloto anton #1	",,,"
Actualizada el 17/03/2022	","

","

2	","

63	","
$ 10 mil MN	","
Ver propiedad
"
"OFICINAS EN RENTA Fracc. Costa Azul, CP 39850 Acapulco, Gro. UBICACIÓN INTERIOR: 2do piso AREA TOTAL: 12 m2 DESTINO O USO SUGERIDO: Oficina administrativa SALA DE JUNTAS: 6 horas de cortesía mensual, no son acumulativas. BAÑO: En áreas comunes (Damas y Caballeros) ESTACIONAMINETO: Valet parking RENTA MENSUAL: $7,500.00 más IVA SERVICIOS: Luz, agua y limpieza áreas comunes incluida. ID: EB-JO7767",,1 mes en Propiedades.com,1/9,"
Colonia Costa Azul	",,,"
Actualizada el 17/03/2022	","

","

2	","

12	","
$ 7.5 mil MN	","
Ver propiedad
"
EN RENTA ESPACIO PARA OFICINA DE 40 MTS 2 ; UBICADO EN COSTA AZUL A 100 MTS DE LA AV COSTERA MIGUEL ALEMAN EXCELENTE UBICACIONZONA RODEADA DE NEGOCIOS EDIFICIO PRIVADO SE UBICA EN LA CALLE CAPITAN F MAURY CASI ESQ CON AV COSTERA MIGUEL ALEMAN A LA ALTURA DEL CONDOMINIO OCEANIC EL LOCAL SE UBICA EN SEGUNDO NIVEL NO TIENE ELEVADOR CUENTA CON AIRE ACONDICIONADOBAÑOS DE USO COMUN 1 CAJON DE ESTACIONAMIENTO EN EL COSTO DE LA RENTA TIENE DERECHO A 6 RHS AL MES (NO SON ACUMULABLES )  DE USAR UNA SALA DE JUNTAS DE 35MTS2 LA CUAL CUENTA CON PROYECTOR Y AIRE ACONDICIONADO. COSTO DE RENTA MENSUAL DESDE $ 12000 INCLUYE :  AGUA Y LIMPIEZA DE AREAS COMUNES .TEL 7441438399,,23 días en Propiedades.com,1/15,"
Colonia Costa Azul	",,,"
Actualizada el 17/03/2022	","

","

2	","

40	","
$ 12 mil MN	","
Ver propiedad
"
 EN RENTA ESPACIO PARA OFICINA UBICADO EN COSTA AZUL A 100 MTS DE LA AV COSTERA MIGUEL ALEMAN EXCELENTE UBICACIONZONA RODEADA DE NEGOCIOS EDIFICIO PRIVADO SE UBICA EN LA CALLE CAPITAN F MAURY CASI ESQ CON AV COSTERA MIGUEL ALEMAN A LA ALTURA DEL CONDOMINIO OCEANIC EL LOCAL SE UBICA EN SEGUNDO NIVEL NO TIENE ELEVADOR CUENTA CON AIRE ACONDICIONADOBAÑOS DE USO COMUN 1 CAJON DE ESTACIONAMIENTO EN EL COSTO DE LA RENTA TIENE DERECHO A 6 RHS AL MES (NO SON ACUMULATIVAS  )  DE USAR UNA SALA DE JUNTAS DE 35MTS2 LA CUAL CUENTA CON PROYECTOR Y AIRE ACONDICIONADO. COSTO DE RENTA MENSUAL DESDE $ 7500.00 INCLUYE : LUZ AGUALIMPIEZA DE AREAS COMUNES .TEL 7441438399,,24 días en Propiedades.com,1/19,"
Colonia Costa Azul	",,,"
Actualizada el 17/03/2022	","

","

2	","

12	","
$ 7.5 mil MN	","
Ver propiedad
"
"Excelentes oficinas en renta, en reconocida Plaza Comercial, con una ubicación priviligiada sobre la Costera Miguel Alemán, a unos metros de la Playa y hoteles, gran movimiento vehicular y de personas. Oficina 50 mtrs2 $13,000.00 mensuales Oficina 200 mtrs2 $50,000.00 mensuales. (8)",,21 días en Propiedades.com,1/17,"
COSTERA MIGUEL ALEMAN	",,,"
Actualizada el 17/03/2022	","

","

","

50	","
$ 13 mil MN	","
Ver propiedad
"
"Oficina en renta en Club Deportivo. 1 baños, 1 estacionamientos, 37m2 terreno, 37m2 construcción. Equipada con elevador. Estátus jurídico: Libre de gravamen.",,1 mes en Propiedades.com,1/4,"
Costera Miguel Alemán	",,,"
Actualizada el 17/03/2022	","

","

1	","

37	","
$ 7.2 mil MN	","
Ver propiedad
"
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. con elevador y seguridad. precios desde: $8,500.00 con 36.47 mtrs2. $19,600.00 con 84.73 mtrs2. Estátus jurídico: Libre de gravamen.",,2 meses en Propiedades.com,1/4,"
AV COSTERA MIGUEL ALEMAN	",,,"
Actualizada el 17/03/2022	","

","

1	","

85	","
$ 19.6 mil MN	","
Ver propiedad
"
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. con elevador y seguridad. Se renta un piso completo con 253.61 mtrs2 Estátus jurídico: Libre de gravamen.",,2 meses en Propiedades.com,1/4,"
AV. COSTERA MIGUEL ALEMAN	",,,"
Actualizada el 17/03/2022	","

","

1	","

254	","
$ 58.4 mil MN	","
Ver propiedad
"
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. con elevador y seguridad. precios desde: $5,600.00 con 28.64 mtrs2 Estátus jurídico: Libre de gravamen.",,2 meses en Propiedades.com,1/4,"
COSTERA MIGUEL ALEMAN	",,,"
Actualizada el 17/03/2022	","

","

1	","

28	","
$ 5.6 mil MN	","
Ver propiedad
"
